id,title,overview,genres,cast,director,keywords,vote_average,vote_count,poster_path,release_date
19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Action Adventure Fantasy ScienceFiction,SamWorthington ZoeSaldana SigourneyWeaver StephenLang MichelleRodriguez,JamesCameron,cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d,7.2,11800,,2009-12-10
285,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",Adventure Fantasy Action,JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård ChowYun-fat,GoreVerbinski,ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger,6.9,4500,,2007-05-19
206647,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",Action Adventure Crime,DanielCraig ChristophWaltz LéaSeydoux RalphFiennes MonicaBellucci,SamMendes,spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom,6.3,4466,,2015-10-26
49026,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",Action Crime Drama Thriller,ChristianBale MichaelCaine GaryOldman AnneHathaway TomHardy,ChristopherNolan,dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman,7.6,9106,,2012-07-16
49529,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",Action Adventure ScienceFiction,TaylorKitsch LynnCollins SamanthaMorton WillemDafoe ThomasHadenChurch,AndrewStanton,basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d,6.1,2124,,2012-03-07
559,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",Fantasy Action Adventure,TobeyMaguire KirstenDunst JamesFranco ThomasHadenChurch TopherGrace,SamRaimi,dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge,5.9,3576,,2007-05-01
38757,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",Animation Family,ZacharyLevi MandyMoore DonnaMurphy RonPerlman M.C.Gainey,ByronHoward,hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick,7.4,3330,,2010-11-24
99861,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",Action Adventure ScienceFiction,RobertDowneyJr. ChrisHemsworth MarkRuffalo ChrisEvans ScarlettJohansson,JossWhedon,marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d,7.3,6767,,2015-04-22
767,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",Adventure Fantasy Family,DanielRadcliffe RupertGrint EmmaWatson TomFelton MichaelGambon,DavidYates,witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf,7.4,5293,,2009-07-07
209112,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",Action Adventure Fantasy,BenAffleck HenryCavill GalGadot AmyAdams JesseEisenberg,ZackSnyder,dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse,5.7,7004,,2016-03-23
